INFO:Wellway:Searching for DB at postgresql://wellway_db_user:W3ll%W4y&4dm1n@dpg-cvusb6je5dus73e0i9r0-a.ohio-postgres.render.com/wellway_db
INFO:apscheduler.scheduler:Adding job tentatively -- it will be properly scheduled when the scheduler starts
INFO:apscheduler.scheduler:Added job "scrape_nutrition_daily" to job store "default"
INFO:apscheduler.scheduler:Scheduler started
WARNING:werkzeug: * Debugger is active!
INFO:werkzeug: * Debugger PIN: 684-485-325
INFO:werkzeug:127.0.0.1 - - [14/Apr/2025 23:13:42] "[31m[1mGET /dashboard HTTP/1.1[0m" 401 -
INFO:werkzeug:127.0.0.1 - - [14/Apr/2025 23:13:46] "GET / HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Apr/2025 23:13:47] "GET /login HTTP/1.1" 200 -
INFO:Wellway:Failed to login user <input id="username" name="username" required type="text" value="PetersonHP">
INFO:werkzeug:127.0.0.1 - - [14/Apr/2025 23:13:55] "POST /login HTTP/1.1" 200 -
INFO:Wellway:Successfully logged in user <input id="username" name="username" required type="text" value="PetersonHP">
INFO:werkzeug:127.0.0.1 - - [14/Apr/2025 23:14:00] "[32mPOST /login HTTP/1.1[0m" 302 -
INFO:werkzeug:127.0.0.1 - - [14/Apr/2025 23:14:00] "GET /dashboard HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Apr/2025 23:14:02] "GET /addFood/ HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Apr/2025 23:14:02] "[36mGET /static/images/yeh.jpg HTTP/1.1[0m" 304 -
INFO:werkzeug:127.0.0.1 - - [14/Apr/2025 23:14:02] "[36mGET /static/images/whitman.jpg HTTP/1.1[0m" 304 -
INFO:werkzeug:127.0.0.1 - - [14/Apr/2025 23:14:02] "[36mGET /static/images/cjl.jpg HTTP/1.1[0m" 304 -
INFO:werkzeug:127.0.0.1 - - [14/Apr/2025 23:14:02] "[36mGET /static/images/forbes.jpg HTTP/1.1[0m" 304 -
INFO:werkzeug:127.0.0.1 - - [14/Apr/2025 23:14:02] "[36mGET /static/images/gradcollege.jpg HTTP/1.1[0m" 304 -
INFO:werkzeug:127.0.0.1 - - [14/Apr/2025 23:14:02] "[36mGET /static/images/roma.jpg HTTP/1.1[0m" 304 -
INFO:werkzeug:127.0.0.1 - - [14/Apr/2025 23:14:03] "GET /addFood/?location=roma HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Apr/2025 23:14:04] "GET /addFood/?location=roma&meal=Dinner HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Apr/2025 23:14:11] "GET /dashboard HTTP/1.1" 200 -
INFO:werkzeug: * Detected change in 'C:\\Users\\Peter\\Source\\Wellway\\app\\database.py', reloading
INFO:apscheduler.scheduler:Scheduler has been shut down
